Gender,Marital_Status,Dependents,Education,Employment_Status,City/Town,Annual_Income,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Approval_Status
Male,Married,1,High School,Employed,Suburban,46472,0,7392,47,0
Female,Single,1,Graduate,Employed,Urban,124745,0,22068,105,1
Female,Single,2,Postgraduate,Self-Employed,Suburban,64650,0,25222,231,0
Female,Married,3,Postgraduate,Self-Employed,Urban,23462,0,6556,111,0
Female,Single,2,Postgraduate,Unemployed,Urban,134149,0,39892,180,1
Female,Single,1,High School,Self-Employed,Urban,93801,0,24113,159,1
Female,Single,1,High School,Employed,Rural,51116,0,5020,103,0
Male,Single,3,Postgraduate,Employed,Urban,107593,0,29579,23,1
Female,Married,0,High School,Employed,Urban,36716,0,7324,27,0
Female,Single,3,Postgraduate,Self-Employed,Urban,92574,0,27020,62,1
Female,Married,0,Postgraduate,Employed,Urban,31661,1,8296,184,0
Male,Married,0,Graduate,Employed,Urban,101733,0,26445,129,1
Male,Married,3,High School,Employed,Rural,100554,0,26547,172,1
Male,Married,1,Graduate,Self-Employed,Suburban,95457,0,24845,86,1
Male,Married,3,High School,Employed,Urban,40381,0,10289,52,1
Female,Single,2,High School,Unemployed,Urban,120503,0,20110,61,0
Female,Married,1,Graduate,Employed,Suburban,32118,0,9083,133,0
Female,Married,0,Postgraduate,Self-Employed,Rural,29869,0,5057,184,0
Male,Married,1,High School,Unemployed,Rural,40657,0,13533,80,0
Male,Married,3,Graduate,Unemployed,Rural,139977,0,41819,121,1
Female,Married,0,Graduate,Self-Employed,Rural,113222,0,30824,112,1
Male,Married,2,Postgraduate,Employed,Rural,135873,0,38856,40,0
Female,Divorced,3,Graduate,Self-Employed,Suburban,120363,0,26964,142,0
Female,Single,0,Graduate,Employed,Urban,89089,0,25669,61,1
Male,Single,3,High School,Employed,Urban,82068,0,21718,58,1
Male,Single,3,High School,Self-Employed,Urban,21696,0,8643,199,1
Male,Single,0,Graduate,Employed,Urban,143711,0,23335,203,1
Male,Single,2,High School,Employed,Suburban,70106,1,20153,193,1
Male,Married,2,High School,Employed,Urban,88169,1,21838,41,1
Female,Single,2,High School,Unemployed,Urban,111095,0,23776,42,0
Female,Divorced,1,High School,Employed,Suburban,94168,0,22003,201,0
Male,Single,1,Postgraduate,Employed,Suburban,123907,0,29706,107,1
Female,Single,3,High School,Employed,Suburban,93850,0,28043,116,0
Male,Divorced,0,High School,Employed,Urban,121184,0,29049,115,1
Male,Single,3,Graduate,Employed,Suburban,58160,0,12391,151,0
Male,Married,1,High School,Unemployed,Urban,52226,0,9354,94,0
Male,Single,0,Postgraduate,Self-Employed,Urban,42414,1,11178,77,0
Male,Single,3,Graduate,Employed,Urban,38985,0,9135,13,0
Female,Single,2,Graduate,Unemployed,Urban,126690,0,33894,13,1
Female,Single,3,Graduate,Self-Employed,Suburban,55135,1,12243,86,0
Male,Divorced,2,Graduate,Unemployed,Urban,100331,1,20660,228,1
Female,Divorced,1,Graduate,Employed,Suburban,77330,0,22737,80,0
Male,Single,0,Graduate,Employed,Urban,47607,0,11135,195,0
Male,Married,1,Graduate,Unemployed,Suburban,84027,0,20844,159,1
Male,Married,3,Postgraduate,Employed,Urban,47452,0,17035,16,1
Male,Married,0,Postgraduate,Employed,Urban,125957,0,24780,170,1
Female,Married,3,High School,Employed,Urban,69373,0,20572,171,1
Male,Married,1,Graduate,Self-Employed,Rural,37635,0,6943,23,0
Male,Married,1,Graduate,Employed,Urban,88349,0,21711,120,0
Male,Divorced,1,High School,Employed,Rural,54427,0,20000,234,0
Female,Married,2,High School,Self-Employed,Urban,40920,0,14413,142,0
Female,Single,1,High School,Employed,Rural,104499,0,28973,224,1
Male,Married,3,Graduate,Self-Employed,Urban,37081,0,12435,69,0
Male,Single,3,Graduate,Unemployed,Suburban,21351,0,6379,108,0
Female,Married,3,Graduate,Employed,Urban,34554,0,7976,86,0
Male,Divorced,0,Graduate,Unemployed,Rural,56158,0,20000,48,1
Male,Married,1,Graduate,Employed,Urban,32105,1,11714,151,0
Male,Single,1,High School,Self-Employed,Suburban,39608,0,10443,25,0
Male,Married,3,High School,Self-Employed,Suburban,69447,0,20498,34,0
Male,Married,2,High School,Employed,Suburban,43574,0,14246,84,0
Male,Married,3,Postgraduate,Unemployed,Suburban,90279,0,25241,61,1
Female,Single,3,High School,Self-Employed,Urban,104544,0,23774,132,0
Male,Single,3,High School,Self-Employed,Urban,113988,0,24758,232,1
Male,Single,2,High School,Employed,Suburban,95982,0,21192,139,0
Female,Single,1,Graduate,Unemployed,Suburban,20462,0,5825,25,0
Female,Single,1,Graduate,Self-Employed,Urban,117485,1,21776,31,1
Female,Married,2,Graduate,Employed,Urban,132966,0,39547,166,0
Female,Single,1,High School,Employed,Suburban,30300,0,9728,138,0
Female,Married,3,Graduate,Unemployed,Urban,31206,0,5445,70,0
Female,Married,3,Postgraduate,Employed,Urban,54267,1,8317,15,0
Male,Single,1,High School,Employed,Urban,102799,0,30576,176,0
Male,Married,3,Postgraduate,Employed,Rural,105297,0,28365,154,1
Male,Single,0,High School,Unemployed,Urban,134237,1,25522,40,1
Male,Divorced,2,High School,Unemployed,Urban,142542,0,22893,212,1
Male,Single,2,Postgraduate,Employed,Urban,83988,0,23932,91,1
Male,Married,2,High School,Self-Employed,Urban,115535,0,30352,160,1
Female,Single,2,Graduate,Employed,Urban,38752,0,11147,133,0
Female,Single,0,Graduate,Employed,Rural,85259,0,21726,220,1
Male,Married,1,High School,Employed,Urban,144700,0,37332,15,1
Female,Married,3,Postgraduate,Self-Employed,Urban,123826,0,33047,34,1
Male,Single,0,High School,Employed,Urban,137354,0,40727,142,1
Female,Divorced,2,Graduate,Employed,Urban,53264,0,20000,200,1
Male,Married,2,Graduate,Unemployed,Urban,110017,0,23656,81,1
Male,Divorced,3,High School,Self-Employed,Urban,130281,0,24293,110,1
Female,Single,1,High School,Employed,Suburban,75379,0,21840,156,1
Male,Married,1,High School,Employed,Urban,100372,0,29111,126,0
Female,Single,3,Graduate,Self-Employed,Suburban,115947,0,27791,199,1
Male,Single,3,Graduate,Employed,Urban,66510,1,6205,17,0
Female,Married,1,Postgraduate,Unemployed,Suburban,54744,0,15095,180,0
Female,Single,2,Graduate,Employed,Urban,35690,0,7120,109,1
Female,Divorced,2,Graduate,Employed,Suburban,25888,0,5990,38,0
Female,Single,0,Graduate,Employed,Suburban,34145,0,10643,62,1
Male,Single,1,Postgraduate,Employed,Urban,53362,0,14926,69,0
Female,Married,0,Postgraduate,Self-Employed,Urban,143627,0,30765,139,1
Male,Married,1,High School,Employed,Urban,73467,0,21177,207,1
Male,Married,0,Postgraduate,Unemployed,Urban,76322,1,20254,166,0
Male,Single,0,Graduate,Self-Employed,Urban,61909,0,20000,35,1
Female,Married,1,Graduate,Employed,Urban,47477,0,12946,85,0
Female,Single,3,Postgraduate,Employed,Suburban,117945,1,20866,79,1
Female,Single,1,Graduate,Unemployed,Urban,87557,0,22950,25,1
Female,Single,2,High School,Employed,Urban,50285,0,20000,13,1
Male,Married,3,High School,Employed,Suburban,73402,0,21149,149,1
Male,Married,0,High School,Employed,Suburban,57806,0,20000,206,0
Female,Single,0,Postgraduate,Employed,Suburban,104602,0,30859,140,1
Female,Single,3,Graduate,Self-Employed,Urban,114455,0,33433,78,0
Female,Married,2,High School,Unemployed,Urban,60951,0,16578,38,0
Female,Married,2,Graduate,Employed,Urban,71918,0,20731,38,1
Female,Single,2,Postgraduate,Unemployed,Urban,24038,0,6588,141,0
Female,Married,1,Postgraduate,Employed,Suburban,73686,0,21991,52,1
Male,Married,3,Graduate,Employed,Suburban,29656,1,5948,138,0
Male,Divorced,3,Graduate,Employed,Urban,81705,0,20881,238,1
Male,Married,2,Postgraduate,Employed,Urban,101216,0,20361,82,1
Female,Single,1,Graduate,Employed,Suburban,139423,0,21618,48,1
Male,Divorced,1,Graduate,Employed,Urban,44341,0,13308,31,0
Male,Married,3,High School,Employed,Rural,20114,0,5046,227,0
Female,Single,0,Graduate,Unemployed,Urban,94049,0,21369,202,1
Female,Married,3,High School,Unemployed,Rural,77484,0,20103,134,1
Male,Married,2,Graduate,Self-Employed,Suburban,54594,0,20000,153,1
Female,Single,1,Graduate,Unemployed,Urban,127930,0,31913,226,0
Male,Married,0,Postgraduate,Employed,Urban,58365,0,20000,73,1
Female,Single,2,High School,Employed,Urban,120560,0,22598,42,1
Female,Married,1,Graduate,Self-Employed,Suburban,144616,1,25632,156,1
Male,Single,3,High School,Self-Employed,Rural,103837,1,26655,238,1
Male,Single,3,High School,Self-Employed,Urban,43147,1,6861,99,0
Male,Married,0,Graduate,Employed,Suburban,114912,1,30267,149,1
Male,Single,0,High School,Employed,Urban,37268,0,14636,67,0
Male,Married,1,Postgraduate,Self-Employed,Urban,75975,0,21820,176,1
Female,Married,2,Graduate,Self-Employed,Rural,60435,0,20000,178,1
Male,Single,3,High School,Self-Employed,Urban,42243,0,8146,216,0
Female,Single,3,Graduate,Employed,Urban,35556,0,5753,192,0
Female,Married,0,High School,Unemployed,Urban,114618,0,27876,197,1
Male,Married,3,Graduate,Employed,Suburban,27997,0,8067,192,0
Female,Single,0,High School,Unemployed,Suburban,77078,0,22619,66,1
Male,Divorced,0,Graduate,Self-Employed,Urban,72662,0,20087,17,1
Female,Married,3,Graduate,Employed,Urban,120410,0,30230,98,1
Male,Divorced,2,High School,Self-Employed,Suburban,37878,0,5427,214,0
Female,Single,1,High School,Unemployed,Suburban,60230,0,20000,215,0
Female,Married,1,Postgraduate,Employed,Suburban,24210,0,5446,221,0
Female,Married,1,High School,Self-Employed,Urban,35941,0,12034,140,0
Female,Married,0,Graduate,Employed,Urban,118195,0,28616,29,1
Male,Single,2,Graduate,Unemployed,Urban,80912,0,20471,116,1
Male,Married,2,Postgraduate,Unemployed,Urban,75610,0,20124,204,1
Male,Divorced,2,High School,Unemployed,Urban,73482,0,21871,215,1
Female,Single,1,Postgraduate,Employed,Urban,139395,0,41098,66,1
Male,Married,0,High School,Employed,Urban,146242,1,36666,89,1
Female,Single,2,High School,Self-Employed,Suburban,39710,1,6160,42,0
Female,Single,1,Postgraduate,Employed,Urban,105042,1,24716,82,1
Female,Single,2,Postgraduate,Employed,Urban,43806,0,11061,76,0
Male,Married,3,Graduate,Employed,Suburban,109550,0,25340,200,1
Male,Single,2,Graduate,Employed,Suburban,84136,1,23262,176,0
Female,Married,3,Graduate,Unemployed,Urban,130309,0,36663,207,1
Male,Married,1,High School,Self-Employed,Urban,121309,1,29519,126,1
Male,Married,0,High School,Employed,Suburban,141784,1,27541,137,1
Male,Married,0,High School,Unemployed,Suburban,45839,0,16309,183,0
Female,Divorced,1,Postgraduate,Self-Employed,Urban,38896,0,15320,18,0
Male,Divorced,1,Graduate,Unemployed,Urban,126651,0,26433,43,1
Male,Divorced,0,Postgraduate,Employed,Suburban,97721,0,25481,51,1
Male,Married,3,Postgraduate,Self-Employed,Urban,27964,0,6777,159,0
Male,Single,3,Graduate,Employed,Urban,47427,0,8169,161,0
Male,Single,2,Graduate,Self-Employed,Urban,101778,1,28443,60,1
Female,Single,0,High School,Employed,Suburban,43361,0,13641,178,0
Male,Married,1,Postgraduate,Employed,Urban,57936,0,20000,140,0
Female,Divorced,0,Postgraduate,Employed,Suburban,65612,0,8186,205,0
Male,Married,3,Graduate,Employed,Suburban,54203,0,6083,41,1
Female,Divorced,1,Graduate,Employed,Urban,84572,0,24613,95,1
Female,Married,1,Postgraduate,Self-Employed,Urban,62436,0,14393,153,0
Female,Single,3,Graduate,Unemployed,Urban,68160,0,10342,43,0
Female,Married,2,Graduate,Employed,Rural,94887,1,22267,12,1
Female,Single,2,Postgraduate,Self-Employed,Urban,45403,0,16861,200,0
Male,Single,0,High School,Employed,Urban,143512,1,25145,219,1
Male,Married,2,Graduate,Employed,Urban,55788,0,8773,202,0
Female,Married,1,Graduate,Self-Employed,Urban,65267,0,20000,180,1
Female,Single,2,High School,Employed,Rural,77768,0,20398,75,0
Male,Single,1,High School,Self-Employed,Urban,112506,0,30119,173,0
Male,Single,3,Graduate,Employed,Suburban,119736,0,27627,165,1
Male,Single,1,Graduate,Employed,Urban,80492,0,20044,19,0
Female,Single,2,High School,Self-Employed,Urban,121705,1,34173,25,1
Female,Married,3,High School,Employed,Suburban,85505,0,24162,71,1
Female,Single,3,Graduate,Employed,Suburban,53070,0,8662,128,0
Male,Married,1,Graduate,Self-Employed,Urban,88778,0,22402,221,0
Female,Married,2,Graduate,Employed,Urban,123991,1,36180,162,1
Male,Married,2,High School,Self-Employed,Urban,51057,0,20000,163,1
Female,Single,0,Graduate,Employed,Suburban,116758,0,22342,237,1
Male,Single,3,Postgraduate,Self-Employed,Suburban,31353,0,6565,53,1
Male,Single,0,High School,Unemployed,Urban,93506,0,23590,147,1
Female,Married,2,Postgraduate,Self-Employed,Suburban,53295,0,15881,35,0
Male,Married,3,Graduate,Self-Employed,Urban,104304,0,22051,69,0
Female,Single,1,High School,Self-Employed,Suburban,21256,0,5259,156,0
Male,Married,3,Postgraduate,Self-Employed,Suburban,103327,1,20367,70,1
Male,Single,3,High School,Self-Employed,Rural,27307,0,10266,58,0
Male,Married,1,Graduate,Employed,Suburban,129219,1,23427,90,1
Male,Married,2,High School,Employed,Urban,138940,0,32098,79,1
Female,Married,2,Postgraduate,Employed,Urban,94672,0,21958,116,1
Male,Married,3,Postgraduate,Employed,Urban,50534,0,20000,73,1
Female,Divorced,2,Postgraduate,Unemployed,Suburban,51011,0,20000,41,1
Female,Married,2,High School,Unemployed,Urban,94335,0,24942,226,1
Female,Married,1,Graduate,Employed,Suburban,122577,0,29166,98,1
Female,Married,3,Postgraduate,Self-Employed,Suburban,57436,0,5874,200,0
Male,Single,1,High School,Self-Employed,Urban,144525,0,35481,90,1
Female,Married,1,Postgraduate,Employed,Rural,98005,0,21740,213,0
Female,Single,3,High School,Employed,Suburban,149411,0,41101,142,1
Female,Married,1,High School,Employed,Urban,119177,0,20258,200,1
Female,Single,0,Graduate,Self-Employed,Urban,140112,0,26291,194,1
Female,Single,0,Graduate,Employed,Suburban,49758,1,7175,29,0
Female,Single,1,High School,Self-Employed,Urban,100519,0,29080,172,1
Male,Married,2,High School,Self-Employed,Urban,69375,0,8786,115,0
Female,Single,3,Postgraduate,Employed,Suburban,120157,0,31126,35,1
Female,Married,3,Graduate,Self-Employed,Urban,65819,0,15259,157,0
Female,Married,0,High School,Employed,Urban,22597,1,6954,17,1
Male,Married,1,Postgraduate,Self-Employed,Urban,97966,0,22703,223,1
Female,Married,1,Postgraduate,Employed,Urban,133471,0,38831,216,0
Male,Married,2,High School,Self-Employed,Urban,100029,0,24334,145,1
Female,Married,0,High School,Employed,Urban,139991,0,38691,179,1
Female,Single,3,High School,Employed,Suburban,93408,0,22431,110,1
Male,Married,2,High School,Self-Employed,Suburban,114795,0,33742,159,1
Female,Married,0,Graduate,Unemployed,Urban,67866,0,10253,27,0
Male,Single,1,High School,Unemployed,Urban,54442,0,14349,107,1
Female,Single,0,Postgraduate,Employed,Urban,54319,1,20000,55,1
Male,Married,0,Graduate,Employed,Suburban,77219,1,22564,232,1
Female,Single,3,High School,Unemployed,Urban,139512,0,40681,225,1
Male,Single,3,High School,Employed,Suburban,66580,0,18093,91,0
Male,Single,1,High School,Self-Employed,Urban,102063,0,24850,219,1
Female,Single,3,Graduate,Self-Employed,Rural,92219,0,23785,169,1
Female,Married,1,High School,Employed,Urban,120188,0,34164,71,1
Male,Married,1,Graduate,Self-Employed,Urban,89575,0,25839,27,1
Male,Single,0,Graduate,Employed,Urban,66392,0,17299,150,0
Male,Single,1,Graduate,Self-Employed,Urban,100094,0,26211,192,1
Male,Married,3,High School,Employed,Suburban,111756,0,25674,44,1
Male,Single,0,High School,Employed,Suburban,73148,0,20769,74,1
Male,Married,3,Postgraduate,Employed,Urban,50455,0,16406,74,0
Female,Married,3,High School,Self-Employed,Urban,65375,0,7810,27,0
Female,Single,0,Postgraduate,Self-Employed,Urban,117673,1,30669,191,1
Female,Single,2,High School,Unemployed,Rural,53623,0,20000,129,1
Male,Single,1,High School,Employed,Urban,140851,0,33734,203,1
Male,Married,1,Graduate,Self-Employed,Urban,136877,0,21005,224,1
Male,Married,1,Graduate,Self-Employed,Suburban,126825,0,31140,137,1
Female,Married,1,Graduate,Self-Employed,Suburban,58742,0,20000,92,1
Male,Married,3,High School,Unemployed,Urban,55815,1,13934,58,1
Female,Divorced,2,Postgraduate,Employed,Rural,28584,1,7048,22,0
Male,Single,0,High School,Employed,Suburban,107138,1,22170,136,1
Male,Single,3,Graduate,Self-Employed,Suburban,67571,1,20087,58,1
Male,Married,0,Graduate,Self-Employed,Urban,120688,0,26196,63,1
Female,Married,2,Graduate,Employed,Urban,24077,0,9089,89,0
Female,Single,0,High School,Employed,Suburban,65454,0,24659,13,0
Male,Married,2,High School,Employed,Urban,115719,1,26005,119,1
Male,Single,1,Postgraduate,Employed,Suburban,143351,0,22080,191,1
Female,Married,2,High School,Self-Employed,Suburban,114687,0,24253,231,1
Male,Married,0,Graduate,Employed,Urban,67127,0,20002,235,1
Male,Divorced,2,Graduate,Employed,Urban,86230,0,21953,143,1
Male,Married,2,High School,Employed,Urban,61075,0,5897,226,0
Female,Married,3,Postgraduate,Self-Employed,Suburban,67734,0,26428,194,0
Female,Single,2,High School,Employed,Urban,120276,0,27166,113,1
Female,Single,3,High School,Employed,Rural,50553,1,20000,100,1
Male,Divorced,1,High School,Employed,Suburban,60589,1,20000,177,0
Female,Married,1,High School,Employed,Urban,59642,0,18044,22,0
Male,Married,2,High School,Self-Employed,Rural,24621,0,7465,127,0
Male,Single,0,Graduate,Self-Employed,Suburban,111799,1,26701,138,1
Female,Married,2,Postgraduate,Employed,Rural,129927,0,23485,81,1
Male,Single,3,Graduate,Self-Employed,Suburban,146627,0,26924,34,1
Male,Divorced,0,Postgraduate,Employed,Urban,87008,0,24840,178,1
Female,Single,1,High School,Employed,Suburban,79891,0,20961,96,1
Female,Divorced,2,Graduate,Unemployed,Urban,108800,0,24661,145,1
Male,Single,3,Postgraduate,Employed,Suburban,27311,0,6260,160,0
Female,Married,3,High School,Employed,Urban,141765,0,27815,142,1
Male,Single,2,Graduate,Self-Employed,Suburban,41658,1,5048,105,0
Female,Single,0,Graduate,Employed,Urban,50551,1,20000,67,1
Male,Single,2,High School,Self-Employed,Suburban,145126,0,20257,151,1
Male,Single,2,Postgraduate,Employed,Urban,34270,0,7078,124,0
Male,Single,0,High School,Unemployed,Suburban,53404,0,13035,237,0
Male,Single,0,Graduate,Unemployed,Urban,37506,0,8224,232,0
Male,Single,3,High School,Employed,Urban,46508,0,8824,87,0
Female,Married,2,Postgraduate,Unemployed,Urban,83835,0,22013,44,0
Male,Married,2,Graduate,Employed,Urban,86705,0,23811,197,1
Male,Single,3,Graduate,Employed,Suburban,64542,0,24676,165,1
Male,Divorced,3,Postgraduate,Employed,Urban,51103,0,16830,122,0
Male,Single,0,Graduate,Self-Employed,Urban,109005,0,24936,153,1
Male,Married,3,High School,Unemployed,Urban,132024,0,31541,220,1
Male,Divorced,2,Postgraduate,Self-Employed,Suburban,134260,0,36877,109,1
Female,Single,2,High School,Unemployed,Urban,74402,0,20390,135,1
Female,Married,3,High School,Employed,Urban,101541,0,30406,207,1
Male,Married,1,Graduate,Self-Employed,Rural,113089,0,28200,160,1
Female,Single,0,High School,Self-Employed,Urban,42768,0,7006,174,0
Male,Married,2,High School,Unemployed,Urban,56063,0,20000,133,1
Female,Married,3,Graduate,Employed,Urban,60500,0,20000,85,1
Male,Married,1,High School,Unemployed,Urban,70606,0,20363,45,1
Male,Married,3,Graduate,Unemployed,Urban,105972,0,28771,105,1
Female,Single,0,Graduate,Employed,Suburban,85900,0,23646,122,0
Female,Married,3,High School,Employed,Suburban,99211,0,20254,178,1
Male,Married,2,Postgraduate,Employed,Urban,126141,0,20463,178,0
Male,Married,0,High School,Employed,Suburban,34809,0,12287,134,0
Female,Divorced,0,High School,Employed,Urban,34396,0,9561,37,0
Male,Married,3,High School,Unemployed,Suburban,58361,0,14548,113,0
Female,Married,3,High School,Employed,Suburban,100504,0,25597,145,1
Male,Divorced,1,High School,Unemployed,Urban,68483,0,13107,189,0
Female,Single,2,Graduate,Employed,Urban,137375,0,20773,124,1
Female,Single,0,Postgraduate,Employed,Urban,68873,0,20249,137,1
Male,Single,3,Postgraduate,Employed,Urban,109256,0,24837,190,0
Male,Married,2,High School,Employed,Suburban,68231,0,20135,135,1
Male,Single,0,Graduate,Unemployed,Suburban,143611,0,20765,104,1
Male,Single,0,High School,Unemployed,Urban,61112,0,20000,229,0
Female,Married,1,Postgraduate,Employed,Suburban,133947,0,31356,216,1
Female,Married,2,Graduate,Employed,Urban,133388,0,20285,88,0
Female,Married,2,High School,Self-Employed,Urban,109111,0,21030,163,1
Female,Single,3,Graduate,Self-Employed,Suburban,64175,0,22696,135,0
Female,Single,2,High School,Employed,Suburban,80897,0,22104,236,1
Female,Single,2,Graduate,Self-Employed,Urban,30275,0,5352,36,0
Female,Single,3,Postgraduate,Self-Employed,Urban,101673,0,21695,78,1
Male,Married,1,Graduate,Employed,Rural,67403,1,20119,53,1
Female,Married,3,High School,Self-Employed,Urban,107123,1,23783,84,1
Male,Single,2,Graduate,Employed,Urban,57493,1,20000,164,1
Female,Married,2,Graduate,Employed,Urban,104684,0,26923,102,1
Female,Married,1,High School,Employed,Suburban,40472,0,9593,195,0
Female,Married,0,Graduate,Unemployed,Suburban,78940,0,22043,155,1
Female,Single,2,High School,Employed,Urban,127716,0,26819,135,1
Male,Single,1,Postgraduate,Employed,Suburban,50668,0,20000,205,1
Female,Married,2,High School,Employed,Urban,32702,0,5978,77,0
Female,Divorced,2,High School,Self-Employed,Suburban,95027,0,25492,46,1
Male,Divorced,1,High School,Employed,Urban,81022,0,20972,101,0
Male,Married,2,Postgraduate,Employed,Urban,118328,0,32413,36,1
Male,Divorced,1,High School,Self-Employed,Suburban,78778,1,23356,239,1
Male,Divorced,2,Graduate,Self-Employed,Urban,65641,0,21605,19,0
Female,Single,2,Graduate,Self-Employed,Suburban,94946,0,24245,176,1
Male,Single,0,Graduate,Unemployed,Urban,37336,1,9851,63,0
Male,Married,1,Postgraduate,Unemployed,Suburban,81234,0,22078,67,1
Female,Married,2,Postgraduate,Self-Employed,Urban,101792,0,21997,229,1
Female,Divorced,0,High School,Employed,Urban,113411,0,22515,74,1
Female,Single,2,Graduate,Self-Employed,Urban,132314,0,24033,109,1
Male,Divorced,1,Graduate,Employed,Suburban,32357,1,9519,233,0
Male,Married,3,Graduate,Employed,Urban,122804,0,23037,29,1
Female,Married,3,Graduate,Employed,Urban,126578,0,24960,138,1
Male,Single,0,High School,Employed,Urban,33081,0,10935,142,0
Female,Single,2,Graduate,Employed,Suburban,46408,0,12216,22,1
Female,Single,0,High School,Employed,Suburban,108849,0,23312,71,1
Female,Divorced,1,High School,Unemployed,Urban,147651,0,34679,216,0
Male,Single,0,Graduate,Unemployed,Suburban,129862,0,32603,139,1
Male,Single,0,Graduate,Employed,Rural,138807,1,40343,238,1
Female,Married,3,High School,Employed,Urban,45447,0,9628,205,0
Male,Divorced,3,High School,Employed,Urban,43314,0,16673,197,0
Male,Single,2,Postgraduate,Employed,Suburban,62028,0,20000,121,1
Male,Single,2,High School,Self-Employed,Suburban,127781,0,24276,238,1
Male,Married,1,High School,Employed,Suburban,66085,0,10431,15,1
Female,Divorced,0,Postgraduate,Employed,Urban,93293,0,27671,102,1
Female,Married,2,Graduate,Self-Employed,Suburban,56289,0,9743,32,0
Male,Divorced,1,Graduate,Unemployed,Urban,50564,0,20000,107,1
Male,Divorced,0,High School,Unemployed,Urban,143443,0,31248,231,1
Male,Married,1,High School,Self-Employed,Urban,25495,1,9395,17,0
Male,Married,2,High School,Employed,Urban,107050,0,32068,230,1
Female,Married,0,Graduate,Employed,Suburban,50976,1,6604,155,0
Female,Married,2,Graduate,Employed,Urban,60064,1,20000,51,0
Male,Single,3,Graduate,Employed,Suburban,22281,0,5437,228,1
Female,Single,0,Graduate,Employed,Urban,84978,0,25416,20,1
Female,Single,0,High School,Employed,Rural,52732,0,20000,62,1
Female,Married,2,Graduate,Employed,Suburban,33163,0,9776,22,0
Female,Married,0,High School,Self-Employed,Urban,72389,0,20263,172,1
Female,Single,0,Postgraduate,Self-Employed,Urban,115833,0,31156,61,1
Female,Married,1,Postgraduate,Self-Employed,Urban,44499,0,14287,12,0
Male,Single,0,High School,Employed,Urban,143948,0,25803,82,1
Female,Single,3,Postgraduate,Employed,Urban,77726,1,21251,82,1
Female,Single,3,High School,Employed,Suburban,31200,0,10692,73,0
Male,Single,2,Graduate,Employed,Urban,106643,0,22424,143,1
Male,Married,3,Postgraduate,Self-Employed,Urban,127572,0,29133,164,1
Female,Divorced,1,Graduate,Employed,Suburban,137763,1,26218,129,1
Female,Single,0,Graduate,Self-Employed,Rural,121618,0,35230,102,0
Female,Divorced,2,Postgraduate,Self-Employed,Suburban,122813,0,22065,104,0
Male,Married,0,Graduate,Unemployed,Urban,34977,0,10212,200,1
Female,Single,3,High School,Employed,Suburban,68398,0,8621,73,0
Male,Married,3,High School,Employed,Rural,120389,1,23565,134,1
Female,Single,0,Graduate,Unemployed,Suburban,51331,0,5974,39,0
Male,Married,2,Postgraduate,Unemployed,Rural,42808,0,15001,178,0
Male,Single,2,Graduate,Employed,Suburban,148210,0,22216,198,1
Male,Single,1,Graduate,Employed,Urban,49455,0,12607,17,0
Male,Single,3,Graduate,Self-Employed,Urban,135825,0,29449,131,1
Male,Divorced,3,Graduate,Employed,Urban,134561,0,24366,60,1
Male,Single,3,High School,Employed,Suburban,46031,0,10150,31,0
Female,Married,0,Graduate,Self-Employed,Urban,139522,0,35533,135,1
Male,Single,1,High School,Unemployed,Urban,124466,0,26886,42,1
Female,Divorced,2,High School,Employed,Suburban,55413,0,20000,32,1
Female,Married,0,Graduate,Unemployed,Urban,47962,0,14762,34,0
Male,Single,1,Graduate,Self-Employed,Urban,58983,0,5567,123,1
Male,Divorced,3,Graduate,Unemployed,Suburban,66982,1,20047,142,1
Female,Married,0,Postgraduate,Self-Employed,Urban,126827,0,32406,109,1
Male,Married,2,Postgraduate,Employed,Urban,66071,1,20000,119,0
Male,Single,0,High School,Employed,Rural,112227,1,26612,203,0
Male,Married,3,Postgraduate,Employed,Urban,73076,0,21024,221,0
Female,Single,1,Graduate,Employed,Rural,48982,0,8757,37,0
Male,Married,2,Postgraduate,Employed,Rural,46676,0,13921,191,0
Female,Single,0,High School,Unemployed,Suburban,74096,0,20259,30,1
Female,Married,2,Postgraduate,Self-Employed,Rural,110953,0,23083,28,1
Female,Single,1,Postgraduate,Employed,Suburban,44224,0,10685,131,0
Female,Married,1,Graduate,Employed,Urban,28907,0,8606,92,0
Female,Married,1,High School,Self-Employed,Rural,62451,1,11881,93,0
Male,Divorced,1,High School,Employed,Urban,46919,1,15774,38,0
Female,Married,0,Graduate,Employed,Urban,65535,1,16605,189,0
Female,Single,2,High School,Employed,Suburban,130003,1,31350,68,1
Male,Married,1,Graduate,Self-Employed,Urban,133100,0,22045,219,1
Female,Single,0,Graduate,Employed,Urban,52946,0,9523,148,0
Female,Married,2,High School,Employed,Suburban,89129,0,23628,174,0
Male,Married,3,High School,Unemployed,Urban,55999,0,18635,119,0
Female,Divorced,1,Graduate,Unemployed,Suburban,67203,0,10367,151,1
Male,Single,1,High School,Self-Employed,Suburban,125324,1,23704,27,1
Female,Married,3,Graduate,Unemployed,Urban,109860,0,32021,204,1
Male,Married,2,Postgraduate,Self-Employed,Urban,60951,0,17932,141,0
Male,Single,0,High School,Self-Employed,Suburban,65926,0,20000,58,1
Male,Married,1,Graduate,Employed,Urban,23795,1,7364,72,0
